R,G,B,ID
0,0,128,64
4,4,132,63
8,8,136,62
12,12,140,61
16,16,144,60
20,20,148,59
24,24,152,58
28,28,156,57
32,32,160,56
36,36,164,55
40,40,168,54
44,44,172,53
48,48,176,52
52,52,180,51
56,56,184,50
60,60,188,49
64,64,192,48
68,68,196,47
72,72,200,46
76,76,204,45
80,80,208,44
84,84,212,43
88,88,216,42
92,92,220,41
96,96,224,40
100,100,228,39
104,104,232,38
108,108,236,37
112,112,240,36
116,116,244,35
120,120,248,34
124,124,252,33
128,128,255,32
132,132,255,31
136,136,255,30
140,140,255,29
144,144,255,28
148,148,255,27
152,152,255,26
156,156,255,25
160,160,255,24
164,164,255,23
168,168,255,22
172,172,255,21
176,176,255,20
180,180,255,19
184,184,255,18
188,188,255,17
192,192,255,16
196,196,255,15
200,200,255,14
204,204,255,13
208,208,255,12
212,212,255,11
216,216,255,10
220,220,255,9
224,224,255,8
228,228,255,7
232,232,255,6
236,236,255,5
240,240,255,4
244,244,255,3
248,248,255,2
255,255,255,1
